year,mileage,tax(£),mpg,engineSize
2018.0,15395.0,150.0,60.1,1.0
2016.0,10618.0,30.0,55.4,1.2
2017.0,30067.0,145.0,44.8,1.6
2016.0,7447.0,30.0,57.6,1.2
2018.0,29890.0,145.0,39.8,1.6
2019.0,9488.0,145.0,34.9,1.6
2019.0,1000.0,150.0,34.0,2.0
2017.0,17663.0,20.0,72.4,0.0
2016.0,31000.0,20.0,60.1,1.0
2017.0,9476.0,145.0,44.8,1.6
2016.0,31724.0,30.0,61.7,1.7
2018.0,31738.0,145.0,60.1,1.0
2019.0,15511.0,150.0,35.8,1.6
2012.0,29650.0,205.0,41.5,1.6
2017.0,30131.0,150.0,47.1,2.2
2018.0,9002.0,145.0,60.1,1.0
2018.0,7375.0,145.0,52.3,1.0
2020.0,37.0,145.0,44.8,1.0
2019.0,2439.0,145.0,46.3,1.0
2013.0,61000.0,0.0,76.3,1.6
2016.0,7418.0,20.0,60.1,1.0
2018.0,12492.0,145.0,44.8,1.6
2014.0,49854.0,30.0,57.6,1.2
2020.0,2622.0,145.0,44.1,1.0
2019.0,5931.0,135.0,78.5,1.6
2014.0,42346.0,20.0,60.1,1.0
2019.0,6964.0,150.0,44.1,1.0
2015.0,20662.0,145.0,48.7,1.4
2017.0,20629.0,150.0,74.3,1.6
2019.0,16673.0,145.0,60.1,1.6
2018.0,33113.0,145.0,31.7,2.5
2017.0,32716.0,145.0,57.7,1.2
2018.0,16265.0,150.0,44.8,1.6
2016.0,12668.0,145.0,48.7,1.4
2017.0,38578.0,145.0,60.1,1.0
2015.0,27390.0,30.0,57.6,1.2
2019.0,17452.0,150.0,36.2,1.6
2018.0,31852.0,145.0,58.9,1.2
2017.0,12536.0,145.0,64.2,1.6
2017.0,12115.0,150.0,60.1,1.0
2015.0,56577.0,30.0,65.7,1.7
2018.0,14290.0,145.0,35.8,1.6
2016.0,9723.0,20.0,60.1,1.0
2018.0,20555.0,145.0,52.3,1.0
2019.0,6500.0,135.0,78.5,1.6
2018.0,30448.0,135.0,78.5,1.6
2016.0,20251.0,125.0,50.4,1.4
2016.0,23552.0,30.0,57.6,1.2
2019.0,497.0,150.0,60.1,1.0
2018.0,10000.0,150.0,45.6,1.4
2014.0,29872.0,30.0,57.6,1.2
2016.0,21619.0,30.0,57.6,1.2
2017.0,43858.0,125.0,57.6,1.7
2019.0,3011.0,145.0,46.3,1.2
2018.0,34103.0,145.0,33.6,2.5
2016.0,26225.0,150.0,48.7,1.4
2018.0,7894.0,145.0,34.9,1.6
2019.0,9898.0,150.0,35.8,1.6
2012.0,22089.0,20.0,61.4,1.2
2014.0,34500.0,160.0,46.3,1.4
2014.0,227.0,160.0,45.6,1.2
2018.0,14495.0,145.0,57.6,1.7
2013.0,55998.0,200.0,46.3,2.2
2015.0,40883.0,20.0,61.4,1.0
2019.0,15314.0,145.0,57.6,1.2
2018.0,11196.0,145.0,68.9,1.6
2019.0,5000.0,145.0,34.9,1.6
2019.0,691.0,145.0,49.6,1.0
2017.0,19595.0,145.0,45.6,1.4
2018.0,9884.0,145.0,44.1,1.0
2014.0,44016.0,145.0,53.3,1.7
2018.0,6443.0,135.0,78.5,1.6
2018.0,25000.0,150.0,55.4,1.2
2016.0,22307.0,30.0,56.5,1.2
2011.0,22000.0,125.0,50.4,1.4
2016.0,33318.0,20.0,60.1,1.0
2017.0,27950.0,125.0,50.4,1.4
2019.0,15308.0,150.0,34.9,1.6
2015.0,64365.0,0.0,78.4,1.6
2016.0,39573.0,200.0,47.1,2.0
2018.0,12875.0,145.0,38.7,1.6
2016.0,31731.0,30.0,65.7,1.7
2018.0,14385.0,145.0,56.5,1.0
2016.0,16985.0,20.0,60.1,1.0
2017.0,17531.0,20.0,60.1,1.0
2017.0,41157.0,30.0,61.7,1.7
2016.0,40000.0,300.0,37.7,2.5
2020.0,3100.0,145.0,36.2,1.6
2018.0,16899.0,150.0,58.9,1.2
2010.0,44670.0,150.0,46.3,1.4
2020.0,1000.0,150.0,53.3,1.0
2017.0,32147.0,30.0,61.7,1.7
2017.0,33267.0,145.0,57.7,1.2
2017.0,29968.0,30.0,61.7,1.7
2016.0,44007.0,30.0,55.4,1.2
2017.0,12023.0,30.0,61.7,1.7
2018.0,37079.0,145.0,44.8,0.0
2015.0,37500.0,200.0,43.6,1.6
2016.0,46601.0,30.0,61.7,1.7
2016.0,17809.0,30.0,65.7,1.7
2016.0,35030.0,145.0,54.3,2.0
2018.0,4829.0,150.0,44.1,1.0
2015.0,40237.0,0.0,78.4,1.6
2015.0,41000.0,30.0,65.7,1.7
2013.0,55472.0,145.0,53.3,1.7
2020.0,2500.0,145.0,36.2,1.6
2017.0,29797.0,125.0,57.6,1.7
2018.0,38082.0,145.0,51.4,1.4
2019.0,6000.0,145.0,40.4,2.0
2016.0,14996.0,125.0,57.6,1.7
2018.0,9031.0,145.0,57.7,1.2
2019.0,101.0,145.0,34.9,1.6
2014.0,24986.0,30.0,57.6,1.2
2017.0,13385.0,30.0,57.7,1.2
2018.0,32672.0,145.0,28.0,2.5
2017.0,27872.0,30.0,61.7,1.7
2016.0,44534.0,0.0,78.4,1.6
2019.0,6934.0,150.0,36.2,1.6
2017.0,12588.0,145.0,55.4,1.2
2019.0,8100.0,145.0,46.3,1.6
2018.0,8786.0,145.0,61.7,1.7
2018.0,30308.0,145.0,51.4,1.4
2017.0,31100.0,160.0,43.5,1.6
2018.0,8404.0,145.0,74.3,1.6
2017.0,12988.0,20.0,60.1,1.0
2018.0,20000.0,150.0,61.7,1.7
2016.0,27918.0,0.0,65.7,1.0
2018.0,14597.0,145.0,60.1,1.0
2017.0,2670.0,145.0,57.7,1.2
2015.0,40472.0,0.0,78.4,1.6
