year,mileage,tax(£),mpg,engineSize,price
2018.0,14985.0,145.0,60.1,1.0,7281.0
2017.0,49081.0,20.0,62.8,1.0,7995.0
2017.0,30000.0,145.0,74.3,1.6,13995.0
2018.0,19001.0,145.0,52.3,1.0,12998.0
2016.0,55000.0,235.0,42.8,2.2,17490.0
2019.0,2128.0,145.0,47.9,1.0,11480.0
2019.0,2626.0,145.0,36.2,1.6,21891.0
2014.0,31946.0,30.0,57.6,1.2,5500.0
2016.0,21619.0,30.0,57.6,1.2,7500.0
2010.0,14360.0,30.0,56.5,1.2,3299.0
2017.0,10726.0,150.0,61.7,1.7,13000.0
2017.0,19996.0,30.0,61.4,1.7,15990.0
2017.0,26315.0,145.0,60.1,1.0,6290.0
2018.0,27318.0,135.0,78.5,1.6,14811.0
2017.0,13587.0,0.0,78.5,1.6,15490.0
2017.0,44013.0,145.0,60.1,1.0,5995.0
2019.0,1850.0,145.0,44.1,1.0,14989.0
2018.0,13000.0,150.0,43.5,1.6,12000.0
2020.0,100.0,145.0,45.6,1.0,15985.0
2019.0,5449.0,150.0,45.6,1.0,13498.0
2014.0,28000.0,20.0,60.1,1.0,5195.0
2016.0,27517.0,30.0,61.7,1.7,12799.0
2017.0,23505.0,150.0,51.4,1.4,11495.0
2016.0,34100.0,200.0,47.1,2.0,16490.0
2015.0,56000.0,20.0,60.1,1.0,4999.0
2014.0,36189.0,150.0,53.3,1.7,8999.0
2010.0,16500.0,190.0,48.7,2.0,9495.0
2019.0,3123.0,145.0,49.6,1.0,8899.0
2019.0,6811.0,150.0,44.1,1.0,14974.0
2017.0,6650.0,150.0,60.1,1.0,7795.0
2016.0,17947.0,30.0,61.7,1.7,12299.0
2019.0,1150.0,145.0,60.1,1.0,8995.0
2015.0,49291.0,150.0,53.3,1.7,8498.0
2017.0,30345.0,125.0,57.6,1.7,17399.0
2017.0,15040.0,145.0,61.7,1.7,13698.0
2017.0,35828.0,125.0,57.6,1.7,14298.0
2018.0,10647.0,145.0,44.1,1.0,13500.0
2019.0,1391.0,135.0,52.3,1.6,21998.0
2019.0,2717.0,145.0,44.1,1.4,17750.0
2013.0,28520.0,20.0,61.4,0.0,5000.0
2018.0,76.0,145.0,44.1,1.0,17495.0
2015.0,14500.0,30.0,61.7,1.7,12691.0
